hpix,l,b,"ASAS[11,13]","Gaia[11,13]","ASAS[13,15]","Gaia[13,15]","ASAS[15,17]","Gaia[15,17]"
46,135.0,30.000000000000007,1.0,0.5,0.28571428571428575,0.4,0.21428571428571427,0.75
47,157.5,30.000000000000007,1.0,0.5,0.7142857142857143,0.45454545454545453,0.5,0.7142857142857143
48,180.0,30.000000000000007,,0.0,1.0,0.5,0.8181818181818181,0.782608695652174
49,202.49999999999997,30.000000000000007,1.0,0.33333333333333337,1.0,0.33333333333333337,0.55,0.7333333333333333
50,224.99999999999997,30.000000000000007,1.0,0.33333333333333337,0.5,0.25,0.7222222222222223,0.5909090909090909
51,247.49999999999997,30.000000000000007,,0.0,1.0,0.16666666666666669,0.5294117647058824,0.375
52,270.0,30.000000000000007,1.0,0.8,1.0,0.4761904761904762,0.6222222222222222,0.7567567567567568
53,292.5,30.000000000000007,1.0,1.0,0.9333333333333332,0.6086956521739131,0.40789473684210525,0.673913043478261
54,315.0,30.000000000000007,,0.0,0.75,0.125,0.625,0.410958904109589
55,337.49999999999994,30.000000000000007,,0.0,0.8823529411764706,0.4918032786885246,0.5760869565217391,0.6235294117647059
56,11.25,19.47122063449069,1.0,0.5,0.8125,0.43333333333333335,0.1423728813559322,0.7636363636363636
57,33.75,19.47122063449069,0.0,0.0,0.7575757575757575,0.35714285714285715,0.22485207100591714,0.6229508196721312
58,56.24999999999999,19.47122063449069,1.0,0.42857142857142855,0.8064516129032258,0.641025641025641,0.1951219512195122,0.7741935483870968
59,78.75,19.47122063449069,,0.0,0.6296296296296297,0.5483870967741935,0.1724137931034483,0.7692307692307692
60,101.24999999999999,19.47122063449069,1.0,0.4,0.8,0.25,0.08,0.6666666666666667
61,123.74999999999999,19.47122063449069,,0.0,0.5,0.25,0.1,0.33333333333333337
62,146.25,19.47122063449069,,0.0,0.5,0.1111111111111111,0.3076923076923077,0.6666666666666667
63,168.74999999999997,19.47122063449069,,0.0,0.0,0.0,0.35714285714285715,0.5
64,191.25,19.47122063449069,,0.0,1.0,0.2,0.45454545454545453,0.5
65,213.75,19.47122063449069,0.0,0.0,0.8,0.4,0.25,0.36363636363636365
66,236.25,19.47122063449069,,0.0,1.0,0.3076923076923077,0.34615384615384615,0.6428571428571429
67,258.75,19.47122063449069,1.0,0.25,0.8333333333333333,0.2777777777777778,0.4642857142857143,0.5
68,281.24999999999994,19.47122063449069,1.0,0.14285714285714288,0.736842105263158,0.4242424242424242,0.45454545454545453,0.7446808510638298
69,303.75,19.47122063449069,0.0,0.0,0.37777777777777777,0.38636363636363635,0.3431372549019608,0.6862745098039216
70,326.24999999999994,19.47122063449069,1.0,0.125,0.8,0.2962962962962963,0.3051948051948052,0.5164835164835165
71,348.74999999999994,19.47122063449069,0.5,0.2222222222222222,0.75,0.4431818181818182,0.2878411910669975,0.8055555555555556
72,0.0,9.594068226860458,0.0,0.0,0.5135135135135136,0.2043010752688172,0.040096230954290296,0.5681818181818182
73,22.5,9.594068226860458,,0.0,,0.0,0.06504065040650406,0.2962962962962963
74,45.0,9.594068226860458,0.0,0.0,0.6896551724137931,0.3846153846153846,0.02027027027027027,0.21428571428571427
75,67.5,9.594068226860458,0.0,0.0,0.3939393939393939,0.26,0.045454545454545456,0.45454545454545453
76,90.0,9.594068226860458,1.0,0.1111111111111111,0.5714285714285715,0.11764705882352942,0.11627906976744186,0.625
77,112.49999999999999,9.594068226860458,0.0,0.0,0.33333333333333337,0.052631578947368425,0.0,
78,135.0,9.594068226860458,,0.0,0.33333333333333337,0.14285714285714288,0.15384615384615385,0.33333333333333337
79,157.5,9.594068226860458,,,0.5,0.09090909090909091,0.05882352941176471,0.16666666666666669
80,180.0,9.594068226860458,,0.0,0.5,0.05555555555555555,0.1,0.16666666666666669
81,202.49999999999997,9.594068226860458,,0.0,,0.0,0.0,0.0
82,224.99999999999997,9.594068226860458,1.0,0.1111111111111111,0.5,0.125,0.0967741935483871,0.42857142857142855
