hpix,l,b,"ASAS[13,16]","PS1[13,16]","Gaia[13,16]","ASAS[16,18]","PS1[16,18]","Gaia[16,18]","ASAS[18,22]","PS1[18,22]","Gaia[18,22]","ASAS_full","PS1_full","Gaia_full"
2717,65.76923076923076,-51.25580694880492,0.5,0.0,1.0,0.5,0.875,0.8,0.0,0.33333333333333337,0.6666666666666667,0.8333333333333333,0.625,0.8571428571428571
2718,72.6923076923077,-51.25580694880492,1.0,1.0,1.0,1.0,1.0,0.33333333333333337,0.0,0.5,0.2,1.0,0.8,0.33333333333333337
2719,79.61538461538461,-51.25580694880492,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.8333333333333333,0.8,0.8
2720,86.53846153846155,-51.25580694880492,,,,1.0,1.0,1.0,0.0,0.6,1.0,1.0,0.7142857142857143,1.0
2721,93.46153846153845,-51.25580694880492,1.0,1.0,0.5,0.4,0.6,1.0,0.0,1.0,0.33333333333333337,1.0,0.8571428571428571,0.7777777777777777
2722,100.38461538461539,-51.25580694880492,1.0,1.0,1.0,0.5714285714285715,1.0,0.875,0.0,0.6,1.0,1.0,0.8,0.9285714285714286
2723,107.3076923076923,-51.25580694880492,,,0.0,0.33333333333333337,0.6666666666666667,1.0,0.0,0.6666666666666667,1.0,1.0,0.6666666666666667,1.0
2724,114.23076923076924,-51.25580694880492,1.0,1.0,0.6666666666666667,0.25,0.75,1.0,0.0,1.0,1.0,0.75,1.0,1.0
2725,121.15384615384615,-51.25580694880492,1.0,1.0,1.0,0.25,1.0,1.0,0.0,1.0,1.0,1.0,0.9090909090909091,1.0
2726,128.0769230769231,-51.25580694880492,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2727,135.0,-51.25580694880492,,,,,,0.0,,,,,,0.0
2728,141.9230769230769,-51.25580694880492,0.5,1.0,1.0,0.16666666666666669,1.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.9090909090909091,0.9090909090909091
2729,148.84615384615384,-51.25580694880492,1.0,1.0,1.0,0.16666666666666669,0.8333333333333333,0.7142857142857143,0.0,0.0,,0.75,0.8888888888888888,0.8888888888888888
2730,155.76923076923077,-51.25580694880492,,,,0.33333333333333337,1.0,0.42857142857142855,0.0,1.0,1.0,1.0,1.0,0.5
2731,162.6923076923077,-51.25580694880492,1.0,1.0,0.5,0.0,1.0,0.25,0.0,0.6,0.6,1.0,1.0,0.6363636363636364
2732,169.6153846153846,-51.25580694880492,1.0,1.0,0.6666666666666667,0.6666666666666667,1.0,0.75,0.0,0.5,1.0,1.0,0.8571428571428571,0.75
2733,176.53846153846152,-51.25580694880492,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.5,0.5,0.75,0.7
2734,183.46153846153848,-51.25580694880492,0.6666666666666667,1.0,0.75,0.75,0.75,1.0,0.0,0.0,0.0,0.8333333333333333,0.875,0.875
2735,190.3846153846154,-51.25580694880492,1.0,1.0,0.5,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.0,0.6666666666666667,0.5,1.0,1.0,0.7777777777777777
2736,197.3076923076923,-51.25580694880492,1.0,1.0,1.0,0.5,1.0,1.0,,,,1.0,1.0,1.0
2737,204.23076923076923,-51.25580694880492,,,,0.5,1.0,1.0,0.0,0.5,0.5,1.0,0.75,0.75
2738,211.15384615384616,-51.25580694880492,1.0,0.5,1.0,,,0.0,,,,1.0,0.5,0.6666666666666667
2739,218.0769230769231,-51.25580694880492,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8571428571428571,1.0
2740,225.0,-51.25580694880492,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,,1.0,0.875,1.0
2741,231.92307692307693,-51.25580694880492,1.0,0.0,1.0,0.5,0.0,1.0,,,,1.0,0.0,0.923076923076923
2742,238.84615384615384,-51.25580694880492,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,,1.0,0.0,1.0
2743,245.76923076923077,-51.25580694880492,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,,1.0,0.0,1.0
2744,252.69230769230768,-51.25580694880492,1.0,0.0,1.0,0.75,0.0,1.0,,,,1.0,0.0,0.8461538461538461
2745,259.6153846153846,-51.25580694880492,1.0,0.0,1.0,0.8333333333333333,0.0,1.0,,,,1.0,0.0,0.9090909090909091
2746,266.53846153846155,-51.25580694880492,1.0,0.0,1.0,0.5555555555555556,0.0,1.0,0.0,0.0,,1.0,0.0,0.9
2747,273.4615384615385,-51.25580694880492,0.8,0.0,1.0,0.25,0.0,1.0,0.0,0.0,,0.4615384615384615,0.0,1.0
2748,280.3846153846154,-51.25580694880492,0.6666666666666667,0.0,1.0,0.8,0.0,1.0,0.0,0.0,,0.8571428571428571,0.0,0.875
2749,287.3076923076923,-51.25580694880492,0.6666666666666667,0.0,1.0,1.0,0.0,0.6666666666666667,0.0,0.0,,1.0,0.0,1.0
2750,294.2307692307692,-51.25580694880492,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,,0.8571428571428571,0.0,1.0
2751,301.15384615384613,-51.25580694880492,0.7142857142857143,0.0,0.7142857142857143,0.5,0.0,1.0,0.0,0.0,,0.7272727272727273,0.0,1.0
2752,308.0769230769231,-51.25580694880492,0.8333333333333333,0.0,1.0,0.5714285714285715,0.0,1.0,0.0,0.0,,0.875,0.0,0.7777777777777777
2753,315.0,-51.25580694880492,0.8333333333333333,0.0,0.8333333333333333,0.125,0.0,0.5,0.0,0.0,,0.6666666666666667,0.0,1.0
2754,321.9230769230769,-51.25580694880492,1.0,0.0,1.0,0.4,0.0,1.0,0.0,0.0,,0.875,0.0,0.8333333333333333
2755,328.8461538461538,-51.25580694880492,1.0,0.0,0.8,0.4,0.0,1.0,0.0,0.0,,1.0,0.0,1.0
2756,335.7692307692308,-51.25580694880492,1.0,0.0,0.8571428571428571,0.42857142857142855,0.0,0.6,0.0,0.0,,0.9,0.0,1.0
2757,342.69230769230774,-51.25580694880492,0.8,0.0,0.8,0.6666666666666667,0.0,1.0,0.0,0.0,,0.875,0.0,0.8571428571428571
2758,349.6153846153846,-51.25580694880492,1.0,0.0,1.0,0.33333333333333337,0.0,0.6666666666666667,0.0,0.0,,0.9090909090909091,0.0,1.0
2759,356.5384615384615,-51.25580694880492,1.0,0.0,1.0,0.2727272727272727,0.0,1.0,0.0,0.0,,0.8333333333333333,0.0,0.7142857142857143
2760,3.7499999999999996,-54.340912303861245,1.0,0.0,1.0,0.15384615384615385,0.0,1.0,0.0,0.0,,1.0,0.0,1.0
2761,11.25,-54.340912303861245,1.0,0.0,0.5,0.25,0.0,0.75,0.0,0.0,,1.0,0.0,0.8333333333333333
2762,18.75,-54.340912303861245,1.0,0.25,0.5,0.4,0.33333333333333337,0.8181818181818181,0.0,0.36363636363636365,1.0,0.75,0.3225806451612903,0.7916666666666667
2763,26.25,-54.340912303861245,1.0,1.0,1.0,0.36363636363636365,1.0,0.6470588235294117,0.0,1.0,0.6666666666666667,1.0,0.9473684210526316,0.7307692307692308
2764,33.75,-54.340912303861245,1.0,0.6666666666666667,0.5,0.4444444444444444,1.0,0.5625,0.0,1.0,0.6,0.875,0.9333333333333332,0.5555555555555556
2765,41.25,-54.340912303861245,0.6666666666666667,0.6666666666666667,1.0,0.1111111111111111,0.7777777777777777,0.875,0.0,0.6,0.6,0.6,0.7058823529411765,0.8
2766,48.75,-54.340912303861245,1.0,1.0,1.0,0.2,0.9,0.5294117647058824,0.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.8333333333333333,0.6
2767,56.24999999999999,-54.340912303861245,1.0,1.0,0.6666666666666667,0.5,1.0,0.5714285714285715,0.0,0.75,0.375,0.8333333333333333,0.9090909090909091,0.5263157894736842
2768,63.75000000000001,-54.340912303861245,1.0,1.0,0.8,0.6666666666666667,0.8888888888888888,0.8888888888888888,0.0,1.0,0.6666666666666667,1.0,1.0,0.85
2769,71.25,-54.340912303861245,1.0,0.5,1.0,0.8,1.0,0.7142857142857143,0.0,0.8,0.5,1.0,0.7857142857142857,0.6842105263157895
2770,78.75,-54.340912303861245,1.0,1.0,0.5,0.5,0.8333333333333333,0.7142857142857143,0.0,1.0,0.42857142857142855,1.0,1.0,0.625
2771,86.24999999999999,-54.340912303861245,1.0,1.0,0.5,0.0,1.0,0.75,0.0,1.0,0.2,0.33333333333333337,1.0,0.45454545454545453
2772,93.75000000000001,-54.340912303861245,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.6666666666666667,0.5,1.0,0.875,0.7777777777777777
2773,101.25,-54.340912303861245,,,0.0,0.4,0.8,1.0,0.0,0.5,0.25,0.33333333333333337,0.8571428571428571,0.6666666666666667
2774,108.75,-54.340912303861245,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666667,0.75
