hpix,l,b,"ASAS[11,13]","Gaia[11,13]","ASAS[13,15]","Gaia[13,15]","ASAS[15,17]","Gaia[15,17]"
16,135.0,54.340912303861245,1.0,0.5,1.0,0.85,0.8823529411764706,0.8653846153846153
17,165.0,54.340912303861245,1.0,1.0,0.9166666666666667,0.7857142857142857,0.92,0.9387755102040817
18,195.0,54.340912303861245,1.0,1.0,0.923076923076923,0.923076923076923,0.9019607843137255,0.7796610169491526
19,224.99999999999997,54.340912303861245,1.0,0.5,0.8571428571428571,0.9,0.8541666666666667,0.6833333333333332
20,255.00000000000003,54.340912303861245,1.0,1.0,0.9545454545454546,0.84,0.9166666666666667,0.7857142857142857
21,285.0,54.340912303861245,1.0,1.0,0.7916666666666667,0.826086956521739,0.8493150684931507,0.8732394366197183
22,315.0,54.340912303861245,1.0,0.875,0.8108108108108109,0.8571428571428571,0.8394160583941606,0.8646616541353382
23,344.99999999999994,54.340912303861245,1.0,0.8,0.9555555555555556,0.8431372549019608,0.8977272727272727,0.7745098039215687
24,11.25,41.81031489577859,0.8333333333333333,0.2777777777777778,0.7261904761904762,0.6354166666666666,0.6742857142857143,0.8613138686131387
25,33.75,41.81031489577859,1.0,0.5,0.926829268292683,0.826086956521739,0.8796992481203008,0.8181818181818181
26,56.24999999999999,41.81031489577859,1.2,0.75,0.9545454545454546,0.8571428571428571,0.904,0.8828125
27,78.75,41.81031489577859,0.5,0.33333333333333337,0.88,0.7857142857142857,0.8404255319148937,0.8144329896907216
28,101.24999999999999,41.81031489577859,,,1.0,0.6666666666666667,0.8,0.8333333333333333
29,123.74999999999999,41.81031489577859,1.0,0.5,0.9285714285714286,0.7222222222222223,0.5365853658536586,0.9565217391304348
30,146.25,41.81031489577859,0.5,1.0,0.9583333333333333,0.9583333333333333,0.903225806451613,0.903225806451613
31,168.74999999999997,41.81031489577859,0.5,0.5,0.923076923076923,0.631578947368421,0.826923076923077,0.9772727272727273
32,191.25,41.81031489577859,1.0,0.5,1.0,0.9444444444444444,0.8571428571428571,0.9
33,213.75,41.81031489577859,1.0,1.0,0.8666666666666667,0.8666666666666667,0.9302325581395349,0.8
34,236.25,41.81031489577859,1.0,0.5,0.9583333333333333,0.8214285714285714,0.8656716417910448,0.8055555555555556
